year	country	city	stage	home_team	away_team	home_score	away_score	outcome	win_conditions	winning_team	losing_team	date
1958	Sweden	Sandviken	Group3	Hungary	Wales	1	1	D	NA	NA	NA	08/06/1958
1958	Sweden	Vasteras	Group2	Scotland	Yugoslavia	1	1	D	NA	NA	NA	08/06/1958
1958	Sweden	Solna	Group3	Sweden	Mexico	3	0	H	NA	Sweden	Mexico	08/06/1958
1958	Sweden	Halmstad	Group1	Argentina	Northern-Ireland	3	1	H	NA	Argentina	Northern-Ireland	11/06/1958
1958	Sweden	Boras	Group4	Austria	USSR	0	2	A	NA	USSR	Austria	11/06/1958
1958	Sweden	Gothenburg	Group4	Brazil	England	0	0	D	NA	NA	NA	11/06/1958
1958	Sweden	Helsingborg	Group1	Czechoslovakia	West-Germany	2	2	D	NA	NA	NA	11/06/1958
1958	Sweden	Vasteras	Group2	France	Yugoslavia	2	3	A	NA	Yugoslavia	France	11/06/1958
1958	Sweden	Solna	Group3	Mexico	Wales	1	1	D	NA	NA	NA	11/06/1958
1958	Sweden	Norrkoping	Group2	Paraguay	Scotland	3	2	H	NA	Paraguay	Scotland	11/06/1958
1958	Sweden	Solna	Group3	Sweden	Hungary	2	1	H	NA	Sweden	Hungary	12/06/1958
1958	Sweden	Helsingborg	Group1	Argentina	Czechoslovakia	1	6	A	NA	Czechoslovakia	Argentina	15/06/1958
1958	Sweden	Boras	Group4	Austria	England	2	2	D	NA	NA	NA	15/06/1958
1958	Sweden	Gothenburg	Group4	Brazil	USSR	2	0	H	NA	Brazil	USSR	15/06/1958
1958	Sweden	Orebro	Group2	France	Scotland	2	1	H	NA	France	Scotland	15/06/1958
1958	Sweden	Malmo	Group1	West-Germany	Northern-Ireland	2	2	D	NA	NA	NA	15/06/1958
1958	Sweden	Sandviken	Group3	Hungary	Mexico	4	0	H	NA	Hungary	Mexico	15/06/1958
1958	Sweden	Eskilstuna	Group2	Paraguay	Yugoslavia	3	3	D	NA	NA	NA	15/06/1958
1958	Sweden	Solna	Group3	Sweden	Wales	0	0	D	NA	NA	NA	15/06/1958
1958	Sweden	Malmo	Group1	Czechoslovakia	Northern-Ireland	1	2	A	Northern-Ireland-won-in-AET	Northern-Ireland	Czechoslovakia	17/06/1958
1958	Sweden	Gothenburg	Group4	England	USSR	0	1	A	NA	USSR	England	17/06/1958
1958	Sweden	Solna	Group3	Hungary	Wales	1	2	A	NA	Wales	Hungary	17/06/1958
1958	Sweden	Gothenburg	Quartfinals	Brazil	Wales	1	0	H	NA	Brazil	Wales	19/06/1958
1958	Sweden	Norrkoping	Quartfinals	France	Northern-Ireland	4	0	H	NA	France	Northern-Ireland	19/06/1958
1958	Sweden	Malmo	Quartfinals	West-Germany	Yugoslavia	1	0	H	NA	West-Germany	Yugoslavia	19/06/1958
1958	Sweden	Solna	Quartfinals	Sweden	USSR	2	0	H	NA	Sweden	USSR	19/06/1958
1958	Sweden	Solna	Semifinals	Brazil	France	5	2	H	NA	Brazil	France	24/06/1958
1958	Sweden	Gothenburg	Semifinals	Sweden	West-Germany	3	1	H	NA	Sweden	West-Germany	24/06/1958
1958	Sweden	Gothenburg	Third-place	France	West-Germany	6	3	H	NA	France	West-Germany	28/06/1958
1958	Sweden	Solna	Final	Sweden	Brazil	2	5	A	NA	Brazil	Sweden	29/06/1958
1962	Chile	Rancagua	Group4	Argentina	Bulgaria	1	0	H	NA	Argentina	Bulgaria	30/05/1962
1962	Chile	Vina-del-Mar	Group3	Brazil	Mexico	2	0	H	NA	Brazil	Mexico	30/05/1962
1962	Chile	Santiago	Group2	Chile	Switzerland	3	1	H	NA	Chile	Switzerland	30/05/1962
1962	Chile	Arica	Group1	Colombia	Uruguay	1	2	A	NA	Uruguay	Colombia	30/05/1962
1962	Chile	Vina-del-Mar	Group3	Czechoslovakia	Spain	1	0	H	NA	Czechoslovakia	Spain	31/05/1962
1962	Chile	Rancagua	Group4	England	Hungary	1	2	A	NA	Hungary	England	31/05/1962
1962	Chile	Santiago	Group2	West-Germany	Italy	0	0	D	NA	NA	NA	31/05/1962
1962	Chile	Arica	Group1	USSR	Yugoslavia	2	0	H	NA	USSR	Yugoslavia	31/05/1962
1962	Chile	Rancagua	Group4	Argentina	England	1	3	A	NA	England	Argentina	02/06/1962
1962	Chile	Vina-del-Mar	Group3	Brazil	Czechoslovakia	0	0	D	NA	NA	NA	02/06/1962
1962	Chile	Santiago	Group2	Chile	Italy	2	0	H	NA	Chile	Italy	02/06/1962
1962	Chile	Arica	Group1	Uruguay	Yugoslavia	1	3	A	NA	Yugoslavia	Uruguay	02/06/1962
1962	Chile	Rancagua	Group4	Bulgaria	Hungary	1	6	A	NA	Hungary	Bulgaria	03/06/1962
1962	Chile	Arica	Group1	Colombia	USSR	4	4	D	NA	NA	NA	03/06/1962
1962	Chile	Santiago	Group2	West-Germany	Switzerland	2	1	H	NA	West-Germany	Switzerland	03/06/1962
1962	Chile	Vina-del-Mar	Group3	Mexico	Spain	0	1	A	NA	Spain	Mexico	03/06/1962
1962	Chile	Rancagua	Group4	Argentina	Hungary	0	0	D	NA	NA	NA	06/06/1962
1962	Chile	Vina-del-Mar	Group3	Brazil	Spain	2	1	H	NA	Brazil	Spain	06/06/1962
